new_column,original_topic,original_question
npaw__fruit_lt1_daily_adult,"Nutrition, Physical Activity, and Weight Status",Consumed fruit less than one time daily among adults
npaw__fruit_lt1_daily_hs,"Nutrition, Physical Activity, and Weight Status",Consumed fruit less than one time daily among high school students
npaw__soda_ge1_daily_hs,"Nutrition, Physical Activity, and Weight Status",Consumed regular soda at least one time daily among high school students
npaw__veg_lt1_daily_adult,"Nutrition, Physical Activity, and Weight Status",Consumed vegetables less than one time daily among adults
npaw__veg_lt1_daily_hs,"Nutrition, Physical Activity, and Weight Status",Consumed vegetables less than one time daily among high school students
npaw__breastfed_12m,"Nutrition, Physical Activity, and Weight Status",Infants who were breastfed at 12 months
npaw__exclusive_breastfed_6m,"Nutrition, Physical Activity, and Weight Status",Infants who were exclusively breastfed through 6 months
npaw__pa_guideline_hs,"Nutrition, Physical Activity, and Weight Status",Met aerobic physical activity guideline among high school students
npaw__pa_guideline_adult,"Nutrition, Physical Activity, and Weight Status","Met aerobic physical activity guideline for substantial health benefits, adults"
npaw__no_leisure_pa_adult,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults
npaw__obesity_wic_2_4,"Nutrition, Physical Activity, and Weight Status",Obesity among WIC children aged 2 to 4 years
npaw__obesity_adult,"Nutrition, Physical Activity, and Weight Status",Obesity among adults
npaw__obesity_hs,"Nutrition, Physical Activity, and Weight Status",Obesity among high school students
oral__all_teeth_lost_65plus,Oral Health,All teeth lost among adults aged 65 years and older
oral__no_teeth_lost_18_64,Oral Health,No teeth lost among adults aged 18-64 years
oral__prev_dental_pre_preg_recent_birth,Oral Health,Preventive dental care in the 12 months before pregnancy among women with a recent live birth
oral__prev_dental_child_1_17,Oral Health,Receipt of evidence-based preventive dental services in the past 12 months among children and adolescents aged 1-17 years
oral__teeth_lost_6plus_65plus,Oral Health,Six or more teeth lost among adults aged 65 years and older
oral__dentist_visit_past_year_adult,Oral Health,Visited dentist or dental clinic in the past year among adults
oral__dentist_visit_child_1_17,Oral Health,Visited dentist or other oral health care provider in the past 12 months among children and adolescents aged 1-17 years
sleep__short_sleep_adult,Sleep,Short sleep duration among adults
sleep__short_sleep_child_4m_14y,Sleep,Short sleep duration among children aged 4 months to 14 years
sleep__short_sleep_hs,Sleep,Short sleep duration among high school students
sdoh__food_insecure_household,Social Determinants of Health,Food insecure in the past 12 months among households
sdoh__ins_after_preg_recent_birth,Social Determinants of Health,Health insurance coverage after pregnancy among women with a recent live birth
sdoh__ins_before_preg_recent_birth,Social Determinants of Health,Health insurance coverage in the month before pregnancy among women with a recent live birth
sdoh__hs_completion_18_24,Social Determinants of Health,High school completion among adults aged 18-24
sdoh__no_ins_18_64,Social Determinants of Health,Lack of health insurance among adults aged 18-64 years
sdoh__no_transport_adult,Social Determinants of Health,Lack of reliable transportation in the past 12 months among adults
sdoh__no_social_emotional_support_adult,Social Determinants of Health,Lack of social and emotional support needed among adults
sdoh__poverty_lt150_all,Social Determinants of Health,Living below 150% of the poverty threshold among all people
sdoh__no_broadband_household,Social Determinants of Health,No broadband internet subscription among households
sdoh__routine_checkup_adult,Social Determinants of Health,Routine checkup within the past year among adults
sdoh__housing_utility_payment_issue_adult,Social Determinants of Health,"Unable to pay mortgage, rent, or utility bills in the past 12 months among adults"
sdoh__unemployment_16plus_lf,Social Determinants of Health,Unemployment rate among people 16 years and older in the labor force
tob__smoking_preg_recent_birth,Tobacco,Cigarette smoking during pregnancy among women with a recent live birth
tob__cig_smoking_adult,Tobacco,Current cigarette smoking among adults
tob__vape_hs,Tobacco,Current electronic vapor product use among high school students
tob__smokeless_hs,Tobacco,Current smokeless tobacco use among high school students
tob__any_tobacco_hs,Tobacco,Current tobacco use of any tobacco product among high school students
tob__quit_attempt_adult_smokers,Tobacco,Quit attempts in the past year among adult current smokers
yr_end,YearEnd,
yr_start,YearStart,
